machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
athena.skylake,c-68,22.3523,42.7664,35.7847,47.1308,50.798,54.5576,21.861,21.5327
athena.skylake,c-69,28.3782,47.2473,50.4841,47.1231,51.799,58.9064,23.8088,24.3382
athena.skylake,c-70,27.5106,57.6346,46.4462,48.7834,58.2341,54.6306,28.6941,22.2284
athena.skylake,c-71,25.527,40.6116,53.8683,50.3389,55.6155,57.7516,27.9309,26.047
athena.skylake,c-72,25.6391,44.1089,43.5159,40.0189,50.0725,48.9644,22.944,20.3667
athena.skylake,c-73,13.8265,8.18307,14.723,23.7899,15.8264,15.164,14.0157,7.36527
athena.skylake,c-73b,13.7381,15.5011,14.7353,24.4689,15.915,15.1597,14.4755,7.36894
athena.skylake,c-big,21.1565,26.8637,37.5159,26.5912,30.4154,29.6396,12.7284,13.3652
athena.skylake,ca-AstroPh,48.2283,85.2289,102.777,81.8037,93.6236,80.9141,61.8344,113.08
athena.skylake,ca-CondMat,47.9593,85.9655,99.5377,73.2808,82.4851,,60.4104,79.6598
athena.skylake,ca-GrQc,64.5372,76.0459,86.4775,88.5338,67.9742,89.4183,83.3687,110.324
athena.skylake,ca-HepPh,39.9331,37.0487,51.6175,48.3419,46.4597,62.3478,32.8389,129.687
athena.skylake,ca-HepTh,58.5705,77.4206,80.504,95.5631,98.9539,,64.3975,102.73
athena.skylake,ca2010,30.7364,21.3862,31.5453,28.2436,21.8358,22.2234,25.0967,16.8813
athena.skylake,caidaRouterLevel,16.4194,26.6466,30.129,19.363,33.4343,29.4969,13.7373,10.6506
athena.skylake,cant,136.823,171.848,161.164,170.848,166.677,167.852,171.129,171.401
athena.skylake,case39,28.4862,27.5603,29.9986,89.9397,51.6446,36.0477,32.1694,28.4694
athena.skylake,case9,44.1725,47.7052,47.2961,89.92,94.7229,48.0427,47.9681,41.7945
athena.skylake,cbuckle,213.269,211.578,218.91,223.166,221.817,,208.681,222.696
athena.skylake,cca,28.0829,31.0559,29.2247,30.7873,31.5673,30.8617,24.6494,29.052
athena.skylake,ccc,27.343,29.6167,30.3574,30.2028,29.9285,30.1025,25.6803,22.416
athena.skylake,cfd1,88.3449,104.863,102.493,106.944,105.961,104.141,90.9926,89.2669
athena.skylake,cfd2,78.6829,101.098,91.2144,97.4566,102.664,104.167,79.8266,80.7506
athena.skylake,channel-500x100x100-b050,45.2196,63.6672,66.7739,78.7832,58.9324,59.782,50.7664,59.4423
